z,locations,text
Promotion ID 54,AL,Alabama<br>Count 156
Promotion ID 54,AK,Alaska<br>Count 169
Promotion ID 54,AZ,Arizona<br>Count 155
Promotion ID 54,AR,Arkansas<br>Count 16
Promotion ID 54,CA,California<br>Count 300
Promotion ID 54,CO,Colorado<br>Count 55
Promotion ID 54,CT,Connecticut<br>Count 66
Promotion ID 54,DE,Delaware<br>Count 589
Promotion ID 54,FL,Delaware<br>Count 77
Promotion ID 54,GA,Georgia<br>Count 6677
Promotion ID 54,HI,Hawaii<br>Count 99
Promotion ID 54,ID,Idaho<br>Count 235
Promotion ID 54,IL,Illinois<br>Count 78
Promotion ID 54,IN,Indiana<br>Count 47
Promotion ID 54,IA,Iowa<br>Count 0
Promotion ID 54,KS,Kansas<br>Count 0
Promotion ID 54,KY,Kentucky<br>Count 0
Promotion ID 54,LA,Louisiana<br>Count 1
Promotion ID 54,ME,Maine<br>Count 2
Promotion ID 54,MD,Maryland<br>Count 3
Promotion ID 54,MA,Massachusetts<br>6
Promotion ID 54,MI,Michigan<br>Count 44
Promotion ID 54,MN,Minnesota<br>Count 7821
Promotion ID 54,MS,Mississippi<br>Count 0
Promotion ID 54,MO,Missouri<br>Count 0
Promotion ID 54,MT,Montana<br>Count 0
Promotion ID 54,NE,Nebraska<br>Count 0
Promotion ID 54,NV,Nevada<br>Count 0
Promotion ID 54,NH,New Hampshire<br>Count 0
Promotion ID 54,NJ,New Jersey<br>Count 0
Promotion ID 54,NM,New Mexico<br>Count 0
Promotion ID 54,NY,New York<br>Count 0
Promotion ID 54,NC,North Carolina<br>Count 0
Promotion ID 54,ND,North Dakota<br>Count 0
Promotion ID 54,OH,Ohio<br>Count 0
Promotion ID 54,OK,Oklahoma<br>Count 56
Promotion ID 54,OR,Oregon<br>Count 7854
Promotion ID 54,PA,Pennsylvania<br>Count 45
Promotion ID 54,RI,Rhode Island<br>Count 196
Promotion ID 54,SC,South Carolina<br>Count 16
Promotion ID 54,SD,South Dakota<br>Count 112
Promotion ID 54,TN,Tennessee<br>Count 160
Promotion ID 54,TX,Texas<br>Count 22
Promotion ID 54,UT,Utah<br>Count 160
Promotion ID 54,VT,Vermont<br>Count 150
Promotion ID 54,VA,Virginia<br>Count 55
Promotion ID 54,WA,Washington<br>Count 18
Promotion ID 54,WV,West Virginia<br>Count 0
Promotion ID 54,WI,Wisconsin<br>Count 18
Promotion ID 54,WY,Wyoming<br>Count 7
